 ,Oliver_KAHN,Andreas_HINKEL,Arne_FRIEDRICH,Christian_WÃRNS,Jens_NOWOTNY,Frank_BAUMANN,Bastian_SCHWEINSTEIGER,Dietmar_HAMANN,Fredi_BOBIC,Kevin_KURANYI,Miroslav_KLOSE,Jens_LEHMANN,Michael_BALLACK,Thomas_BRDARIC,Sebastian_KEHL,Jens_JEREMIES,Christian_ZIEGE,Fabian_ERNST,Bernd_SCHNEIDER,Lukas_PODOLSKI,Philipp_LAHM,Torsten_FRINGS,Timo_HILDEBRAND
Oliver_KAHN,0,0,1,1,2,0,1,0,2,8,0,0,0,0,0,0,0,0,1,0,1,0,0
Andreas_HINKEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne_FRIEDRICH,0,0,0,3,0,4,1,5,0,3,0,0,2,0,0,0,0,0,8,0,0,0,0
Christian_WÃRNS,4,0,6,0,3,0,1,8,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0
Jens_NOWOTNY,1,0,0,1,0,2,0,4,0,2,0,0,2,0,0,0,0,1,0,0,1,7,0
Frank_BAUMANN,0,0,1,4,0,0,1,2,0,4,0,0,3,0,0,0,0,0,1,0,0,4,0
Bastian_SCHWEINSTEIGER,0,0,1,0,0,2,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Dietmar_HAMANN,2,0,5,8,4,2,2,0,1,2,0,0,3,0,0,0,0,0,6,0,6,5,0
Fredi_BOBIC,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Kevin_KURANYI,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2,0,1,1,0
Miroslav_KLOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens_LEHMANN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael_BALLACK,0,0,5,1,1,3,3,5,0,3,0,0,0,0,0,0,0,2,4,0,4,9,0
Thomas_BRDARIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian_KEHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jens_JEREMIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian_ZIEGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian_ERNST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bernd_SCHNEIDER,0,0,3,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas_PODOLSKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp_LAHM,0,0,0,0,2,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0
Torsten_FRINGS,0,0,1,3,2,4,1,3,0,4,0,0,5,0,0,0,0,0,0,0,9,0,0
Timo_HILDEBRAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
